The terms and frequencies are :
['sanjay', 0.00016823687752355316]
['thick', 0.00016823687752355316]
['speed', 0.00016823687752355316]
['vegan', 0.00016823687752355316]
['scoop', 0.00016823687752355316]
['ny', 0.00016823687752355316]
['fight', 0.00016823687752355316]
['pmns', 0.00016823687752355316]
['palm', 0.00016823687752355316]
['relatives', 0.00016823687752355316]
['scratch', 0.00016823687752355316]
['entrance', 0.00016823687752355316]
['cats', 0.00016823687752355316]
['lick', 0.00016823687752355316]
['nevermind', 0.00016823687752355316]
['review', 0.00016823687752355316]
['gotten', 0.00016823687752355316]
['mormon', 0.00016823687752355316]
['sweeeeeet', 0.00016823687752355316]
['twice', 0.00016823687752355316]
['englishman', 0.00016823687752355316]
['oil', 0.00016823687752355316]
['eye', 0.00016823687752355316]
['future', 0.00016823687752355316]
['tweet', 0.00016823687752355316]
['cute', 0.00016823687752355316]
['fails', 0.00016823687752355316]
['potencial', 0.00016823687752355316]
['sexy', 0.00016823687752355316]
['approve', 0.00016823687752355316]
['wheres', 0.00016823687752355316]
['course', 0.00016823687752355316]
['military', 0.00016823687752355316]
['citizen', 0.00016823687752355316]
['2k', 0.00016823687752355316]
['mostly', 0.00016823687752355316]
['bbq', 0.00016823687752355316]
['children', 0.00016823687752355316]
['lp', 0.00016823687752355316]
['courses', 0.00016823687752355316]
['lady', 0.00016823687752355316]
